


SongNum|SongID      |SongName                                          |SongAlbum                               |SongArtist                    |LrcSts         |ErrorInfo
97     |27585705    |Agiel                                             |L'aventale                              |削除                            |NOLYRICS       |×<NO_LYRIC_LABEL>
98     |2617314215  |無限迷路                                              |無限迷路                                    |空想,星尘                         |EXISTED        |√
99     |2009411428  |Dragonflame                                       |Dragonflame                             |Kirara Magic                  |NOLYRICS       |×<NO_LYRIC_LABEL>
100    |2646200061  |Megameteor                                        |Mega Meteoroid                          |削除                            |NOLYRICS       |×<NO_LYRIC_LABEL>
101    |2141606864  |BLOODSEEKER                                       |BLOODSEEKER                             |RXDXVIL,Hellblade             |NOTSUPPLIED    |×<NO_LYRIC_LABEL>
102    |2041153077  |アイドル X Operation Fake Waves 《我推的孩子X赝波行动》-Remix-   |我推的孩子X明日方舟-危机合约#11赝波行动                  |逢时                            |EXISTED        |√
103    |2042303390  |The Chariot ~REVIIVAL~                            |The Chariot ~REVIIVAL~                  |Attoclef                      |NOLYRICS       |×<NO_LYRIC_LABEL>
104    |477933827   |S.T.A.Y. (Delta Heavy Tribute)                    |S.T.A.Y. (Delta Heavy Tribute)          |Delta Heavy,Hans Zimmer       |NOLYRICS       |×<NO_LYRIC_LABEL>
105    |413961906   |STYX HELIX                                        |STYX HELIX                              |MYTH & ROID                   |EXISTED        |√
106    |2134454914  |Ai Nov                                            |ONGEKI Sound Collection 01              |Feryquitous                   |EXISTED        |×<NO_LYRIC_LABEL>
107    |1824691273  |2 Minutes Euphoria (1st Demo Version)             |Tone Sphere Ultra Service               |Sta,Feryquitous               |NOTSUPPLIED    |×<NO_LYRIC_LABEL>
108    |1495704717  |Tähti                                             |Tähti                                   |RAI                           |NOLYRICS       |×<NO_LYRIC_LABEL>
110    |1858866241  |ばかじゃないのに                                          |ばかじゃないのに                                |ずっと真夜中でいいのに。                  |EXISTED        |√
111    |1973384655  |【宙暮】石头记disco（翻自 初音ミク）                             |虚拟歌手宙暮翻唱曲合集                             |白光Raphaelwalty,宙暮             |EXISTED        |√
112    |1906257889  |ティアードクライシス                                        |ティアードクライシス                              |youまん,GUMI                    |EXISTED        |√
113    |1978685845  |Alter//Strife                                     |HARDCORE UTOPIA 4                       |Sad Keyboard Guy,Sleepless,Myntian,Vally.exe|EXISTED        |√
